,USY8137FAQ10 Corp,USG84228EH74 Corp,XS2099273737 Corp,USG85381AE48 Corp,XS1506085114 Corp,XS1587867539 Corp,XS1642686676 Corp,USY2R40TAB40 Corp,XS2030531938 Corp,XS2106329134 Corp,XS2100664544 Corp,USY2R27RAB56 Corp,USY59505AA82 Corp,USY59501AA78 Corp,XS2189303873 Corp,XS1981089284 Corp,XS1627597955 Corp,XS2071413483 Corp,XS1808311424 Corp,XS2082380515 Corp,XS2132420758 Corp,XS2201937211 Corp,XS2205566206 Corp,USY708CHAA88 Corp,XS1751792836 Corp,XS2016067303 Corp,XS2098881654 Corp,XS2079668609 Corp,XS2215399317 Corp,XS1719264324 Corp,USG61759AA70 Corp,XS1981973941 Corp,XS1266590089 Corp,XS1526108235 Corp,USY267BJGT59 Corp
Name,REPUBLIC OF SRI LANKA,STANDARD CHARTERED PLC,THETA CAPITAL PTE LTD,STUDIO CITY FINANCE LTD,THETA CAPITAL PTE LTD,CHINA EVERGRANDE GROUP,SOFTBANK GROUP CORP,DELHI INTL AIRPORT,YANLORD LAND HK CO LTD,KAISA GROUP HOLDINGS LTD,YANGO JUSTICE INTL,DELHI INTL AIRPORT,MEDCO PLATINUM ROAD PTE,MEDCO OAK TREE PTE LTD,RONSHINE CHINA,SUNAC CHINA HOLDINGS LTD,KAISA GROUP HOLDINGS LTD,AGILE GROUP HOLDINGS LTD,LOGAN GROUP CO LTD,ANTON OILFIELD SERV GRP/,FORTUNE STAR BVI LTD,SUNAC CHINA HOLDINGS LTD,VLL INTERNATIONAL INC,ABM INVESTAMA TBK PT,NUOXI CAPITAL LTD,HILONG HOLDING LTD,SMC GLOBAL POWER HLDGS,TATA MOTORS LTD,YUZHOU GROUP,ANTON OILFIELD SERV GRP/,MN MINING/ENERGY RESOURC,NUOXI CAPITAL LTD,CAR INC,BLUE SKYVIEW CO LTD,FUTURE RETAIL LTD
CRNCY,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD
EXCH_CODE,LONDON,HONG KONG,SGX-ST,SGX-ST,SGX-ST,SGX-ST,SGX-ST,SGX-ST,SGX-ST,SGX-ST,SGX-ST,SGX-ST,SGX-ST,SGX-ST,SGX-ST,SGX-ST,SGX-ST,SGX-ST,SGX-ST,HONG KONG,SGX-ST,SGX-ST,SGX-ST,SGX-ST,HONG KONG,HONG KONG,SGX-ST,SGX-ST,HONG KONG,HONG KONG,SGX-ST,HONG KONG,HONG KONG,HONG KONG,SGX-ST
industry_sector,Government,Financial,Financial,"Consumer, Cyclical",Financial,Financial,Communications,Industrial,Financial,Financial,Financial,Industrial,Energy,Energy,Financial,Financial,Financial,Financial,Financial,Energy,"Consumer, Cyclical",Financial,Financial,Diversified,Technology,Energy,Utilities,"Consumer, Cyclical",Financial,Energy,Energy,Technology,"Consumer, Non-cyclical","Consumer, Cyclical","Consumer, Cyclical"
rtg_moody,B2 *-,Ba1,B3,B1,B3,B2,B2u,Ba3,Ba3,B2,,Ba3,B1,B1,,B1,,Ba3,,B1,,B1,,B1,,Caa3,,B1,B1,B1,,,Caa1 *+,,
rtg_sp,B-,BB-,B-,BB-,B-,,B+,B+ *-,B+,,,B+ *-,B+,(P)B+,,B+,,,,,BB,B+,,,,,,,,,B-,,CCC *+,,(P)CCC- *-
px_mid,84.7555,104.55,97.35,104.8035,86.4485,89.1275,100.062,99.937,102.3735,94.0925,103.208,98.7495,100.016,100.852,102.5,103.723,100.476,101.5,101.7225,62.1085,103.432,100.208,101.995,64.7195,16.1465,42.773,96.7695,98.493,99.7505,92.5015,72.1065,26.4045,89.0735,27.7395,64.396
coupon,6.35,6,8.125,6,6.75,9.5,6.875,6.45,6.8,9.95,9.25,6.125,6.75,7.375,7.35,7.95,8.5,7.875,6.875,7.5,6.85,6.5,7.25,7.125,5.35,8.25,5.7,5.875,7.85,9.75,9.25,7.45,6,7.125,5.6
INT_ACC_DT,2019/6/28 00:00,2020/6/26 00:00,2020/1/22 00:00,2020/7/15 00:00,2016/10/31 00:00,2017/3/29 00:00,2017/7/19 00:00,2019/6/4 00:00,2019/8/27 00:00,2020/1/23 00:00,2020/1/15 00:00,2016/10/31 00:00,2018/1/30 00:00,2019/5/14 00:00,2020/6/15 00:00,2019/4/11 00:00,2017/6/30 00:00,2019/10/31 00:00,2018/4/24 00:00,2019/12/2 00:00,2020/7/2 00:00,2020/7/9 00:00,2020/7/20 00:00,2017/8/1 00:00,2018/1/24 00:00,2019/9/26 00:00,2020/1/21 00:00,2019/11/20 00:00,2020/8/12 00:00,2017/12/5 00:00,2019/4/15 00:00,2019/4/16 00:00,2015/8/11 00:00,2017/1/26 00:00,2020/1/22 00:00
FIRST_CPN_DT,2019/12/28 00:00,2021/1/26 00:00,2020/7/22 00:00,2021/1/15 00:00,2017/4/30 00:00,2017/9/29 00:00,2018/1/19 00:00,2019/12/4 00:00,2020/2/27 00:00,2020/7/23 00:00,2020/7/15 00:00,2017/4/30 00:00,2018/7/30 00:00,2019/11/14 00:00,2020/12/15 00:00,2019/10/11 00:00,2017/12/30 00:00,2020/1/31 00:00,2018/10/24 00:00,2020/6/2 00:00,2021/1/2 00:00,2021/1/9 00:00,2021/1/20 00:00,2018/2/1 00:00,2018/7/24 00:00,2020/3/26 00:00,2020/7/21 00:00,2020/5/20 00:00,2021/2/12 00:00,2018/6/5 00:00,2019/10/15 00:00,2019/10/16 00:00,2016/2/11 00:00,2017/7/26 00:00,2020/7/22 00:00
SECURITY_PRICING_DATE,2019/6/24 00:00,2020/6/17 00:00,2020/1/14 00:00,2020/7/8 00:00,2016/10/24 00:00,2017/3/24 00:00,2017/7/12 00:00,2019/5/28 00:00,2019/8/21 00:00,2020/1/15 00:00,2020/1/8 00:00,2016/10/20 00:00,2018/1/23 00:00,2019/5/2 00:00,2020/6/9 00:00,2019/4/8 00:00,2017/6/22 00:00,2019/10/24 00:00,2018/4/18 00:00,2019/11/21 00:00,2020/6/22 00:00,2020/7/6 00:00,2020/7/13 00:00,2017/7/25 00:00,2018/1/18 00:00,2019/9/19 00:00,2020/1/14 00:00,2019/11/13 00:00,2020/8/5 00:00,2017/11/28 00:00,2019/4/3 00:00,2019/4/11 00:00,2015/8/3 00:00,2017/1/20 00:00,2020/1/14 00:00
isin,USY8137FAQ10 Corp,USG84228EH74 Corp,XS2099273737 Corp,USG85381AE48 Corp,XS1506085114 Corp,XS1587867539 Corp,XS1642686676 Corp,USY2R40TAB40 Corp,XS2030531938 Corp,XS2106329134 Corp,XS2100664544 Corp,USY2R27RAB56 Corp,USY59505AA82 Corp,USY59501AA78 Corp,XS2189303873 Corp,XS1981089284 Corp,XS1627597955 Corp,XS2071413483 Corp,XS1808311424 Corp,XS2082380515 Corp,XS2132420758 Corp,XS2201937211 Corp,XS2205566206 Corp,USY708CHAA88 Corp,XS1751792836 Corp,XS2016067303 Corp,XS2098881654 Corp,XS2079668609 Corp,XS2215399317 Corp,XS1719264324 Corp,USG61759AA70 Corp,XS1981973941 Corp,XS1266590089 Corp,XS1526108235 Corp,USY267BJGT59 Corp
maturity,2024/6/28 00:00,,2025/1/22 00:00,2025/7/15 00:00,2026/10/31 00:00,2024/3/29 00:00,,2029/6/4 00:00,2024/2/27 00:00,2025/7/23 00:00,2023/4/15 00:00,2026/10/31 00:00,2025/1/30 00:00,2026/5/14 00:00,2023/12/15 00:00,2023/10/11 00:00,2022/6/30 00:00,,2021/4/24 00:00,2022/12/2 00:00,2024/7/2 00:00,2023/7/9 00:00,2027/7/20 00:00,2022/8/1 00:00,2023/1/24 00:00,2022/9/26 00:00,,2025/5/20 00:00,2026/8/12 00:00,2020/12/5 00:00,2024/4/15 00:00,2022/10/16 00:00,2021/2/11 00:00,,2025/1/22 00:00
FIXED_REOFFER_PX,100,,100,,100,,,,100,100,98.318,100,99.178,98.266,100,98.891,100,100,99.667,99.015,100,99.331,100,98.97,100,99.48,100,100,100,99.366,100,100,98.851,100,
Position,3000,4000,3000,2000,2000,3000,2000,2000,4000,2000,4000,1000,1000,1000,3000,3000,2000,1000,2000,1000,3000,1000,500,3000,400,2200,2000,-2000,-1000,2500,1000,5000,-2000,4000,4000
TagLvl 1,NONCHINAASIAHYS,AT1,NONCHINAASIAHYS,NONCHINAASIAHYS,NONCHINAASIAHYS,CHINAPROPERTY,NONCHINAASIAHYS,NONCHINAASIAHYS,CHINAPROPERTY,CHINAPROPERTY,CHINAPROPERTY,NONCHINAASIAHYS,NONCHINAASIAHYS,NONCHINAASIAHYS,CHINAPROPERTY,CHINAPROPERTY,CHINAPROPERTY,CHINAPROPERTY,CHINAPROPERTY,CHINAINDUSTRIAL,CHINAINDUSTRIAL,CHINAPROPERTY,NONCHINAASIAHYS,NONCHINAASIAHYS,CHINAINDUSTRIAL,CHINAINDUSTRIAL,NONCHINAASIAHYS,NONCHINAASIAHYS,CHINAPROPERTY,CHINAINDUSTRIAL,NONCHINAASIAHYS,CHINAINDUSTRIAL,CHINAINDUSTRIAL,CHINAINDUSTRIAL,NONCHINAASIAHYS
